id,cccd,ho_ten,dan_toc,noi_sinh,que_quan,gioi_tinh,ngay_sinh,quoc_tich
95,101035195901,Phan Thị Thanh,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nữ,1950-08-19,Việt Nam
96,199936719503,Huỳnh Hữu Thanh,Kinh,Tỉnh Thừa Thiên Huế,Tỉnh Thừa Thiên Huế,Nam,1997-08-22,Việt Nam
97,433526507753,Đỗ Văn Tâm,Kinh,Tỉnh Phú Thọ,Tỉnh Phú Thọ,Nam,1951-04-18,Việt Nam
98,023271942646,Dương Văn Bình,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nam,1989-05-15,Việt Nam
99,106165452279,Hoàng Văn Khánh,Kinh,Tỉnh An Giang,Tỉnh An Giang,Nam,1999-04-16,Việt Nam
100,251164479217,Lê Văn Tú,Kinh,Tỉnh Lào Cai,Tỉnh Lào Cai,Nam,1996-09-02,Việt Nam
101,173550329643,Bùi Thị Khánh,Kinh,Tỉnh Quảng Bình,Tỉnh Quảng Bình,Nữ,1989-07-01,Việt Nam
102,731680053996,Trần Thị Linh,Kinh,Tỉnh Lạng Sơn,Tỉnh Lạng Sơn,Nữ,1974-06-04,Việt Nam
103,444385452433,Trần Văn Hà,Kinh,Tỉnh Vĩnh Long,Tỉnh Vĩnh Long,Nam,1989-07-20,Việt Nam
104,451709515082,Lý Văn Hà,Kinh,Tỉnh Long An,Tỉnh Long An,Nam,1967-02-12,Việt Nam
105,841493531137,Hoàng Hữu Bình,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nam,1952-04-04,Việt Nam
106,145472563987,Trần Thị Hà,Kinh,Tỉnh Hà Nam,Tỉnh Hà Nam,Nữ,1978-03-22,Việt Nam
107,703165402583,Hồ Thị Lương,Kinh,Tỉnh Bắc Ninh,Tỉnh Bắc Ninh,Nữ,1969-03-12,Việt Nam
108,911418665051,Võ Thị An,Kinh,Tỉnh Vĩnh Phúc,Tỉnh Vĩnh Phúc,Nữ,1976-08-04,Việt Nam
109,118642908201,Huỳnh Văn Lương,Kinh,Tỉnh Thanh Hóa,Tỉnh Thanh Hóa,Nam,1962-06-22,Việt Nam
110,953290091533,Phạm Thị An,Kinh,Tỉnh Kiên Giang,Tỉnh Kiên Giang,Nữ,1953-05-31,Việt Nam
111,804354934009,Ngô Văn Hà,Kinh,Tỉnh Sóc Trăng,Tỉnh Sóc Trăng,Nam,1950-07-09,Việt Nam
112,188525094643,Ngô Văn Anh,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nam,1995-08-24,Việt Nam
113,759619510172,Võ Thị Tâm,Kinh,Tỉnh Bến Tre,Tỉnh Bến Tre,Nữ,1978-06-25,Việt Nam
114,437590244240,Phan Văn Bình,Kinh,Tỉnh Bình Phước,Tỉnh Bình Phước,Nam,1986-03-03,Việt Nam
115,277409438496,Lý Văn An,Kinh,Tỉnh Bắc Giang,Tỉnh Bắc Giang,Nam,1961-03-06,Việt Nam
116,711069410600,Huỳnh Văn Khánh,Kinh,Tỉnh Hà Tĩnh,Tỉnh Hà Tĩnh,Nam,1985-02-26,Việt Nam
117,238265154749,Dương Thị Tâm,Kinh,Tỉnh Tây Ninh,Tỉnh Tây Ninh,Nữ,1993-04-27,Việt Nam
118,980664082688,Nguyễn Văn Tâm,Kinh,Tỉnh Bạc Liêu,Tỉnh Bạc Liêu,Nam,1992-02-25,Việt Nam
119,597175098097,Ngô Hữu Bình,Kinh,Tỉnh Quảng Trị,Tỉnh Quảng Trị,Nam,1985-02-26,Việt Nam
120,014630886559,Vũ Hữu Thanh,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nam,1973-08-31,Việt Nam
121,019553144060,Ngô Văn Tâm,Kinh,Tỉnh Quảng Bình,Tỉnh Quảng Bình,Nam,1970-08-16,Việt Nam
122,162503117210,Phạm Thị Khánh,Kinh,Tỉnh Bình Định,Tỉnh Bình Định,Nữ,1975-05-19,Việt Nam
123,684029675068,Ngô Văn Anh,Kinh,Tỉnh Sơn La,Tỉnh Sơn La,Nam,1985-07-16,Việt Nam
124,312317345389,Phạm Văn Tú,Kinh,Tỉnh Lào Cai,Tỉnh Lào Cai,Nam,2000-01-21,Việt Nam
125,601559061300,Hồ Thị Khánh,Kinh,Tỉnh Lạng Sơn,Tỉnh Lạng Sơn,Nữ,1995-06-18,Việt Nam
126,411271805496,Đặng Thị Anh,Kinh,Tỉnh Bắc Giang,Tỉnh Bắc Giang,Nữ,1995-04-06,Việt Nam
127,023163862331,Phạm Thị Hà,Kinh,Tỉnh Khánh Hòa,Tỉnh Khánh Hòa,Nữ,1955-03-28,Việt Nam
128,531585181146,Dương Thị Khánh,Kinh,Tỉnh Sóc Trăng,Tỉnh Sóc Trăng,Nữ,1985-07-20,Việt Nam
129,585163222129,Đặng Thị Hà,Kinh,Tỉnh Đắk Nông,Tỉnh Đắk Nông,Nữ,1961-03-06,Việt Nam
130,121235967626,Lê Thị Thanh,Kinh,Tỉnh Vĩnh Phúc,Tỉnh Vĩnh Phúc,Nữ,1975-06-17,Việt Nam
131,156869700030,Phạm Thị Hà,Kinh,Tỉnh Vĩnh Long,Tỉnh Vĩnh Long,Nữ,1992-06-20,Việt Nam
132,374424963440,Hoàng Thị Tâm,Kinh,Tỉnh Ninh Bình,Tỉnh Ninh Bình,Nữ,1965-07-09,Việt Nam
133,050299222307,Hồ Văn Tâm,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nam,1960-09-01,Việt Nam
134,323251911754,Phạm Hữu Tú,Kinh,Tỉnh Quảng Bình,Tỉnh Quảng Bình,Nam,1981-08-04,Việt Nam
135,596062775902,Lý Hữu Linh,Kinh,Tỉnh Nghệ An,Tỉnh Nghệ An,Nam,1999-02-21,Việt Nam
136,193957795846,Lý Hữu An,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nam,1969-03-14,Việt Nam
137,641983690311,Huỳnh Thị Linh,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nữ,1953-03-18,Việt Nam
138,427880243151,Đỗ Hữu Linh,Kinh,Tỉnh Quảng Ngãi,Tỉnh Quảng Ngãi,Nam,2000-03-06,Việt Nam
139,707592914230,Ngô Văn Nguyên,Kinh,Tỉnh Nam Định,Tỉnh Nam Định,Nam,1986-08-12,Việt Nam
140,121931717159,Nguyễn Thị Lương,Kinh,Tỉnh Gia Lai,Tỉnh Gia Lai,Nữ,1956-07-11,Việt Nam
141,384395178176,Bùi Thị Nguyên,Kinh,Tỉnh Sơn La,Tỉnh Sơn La,Nữ,1989-05-17,Việt Nam
142,993784047181,Vũ Thị Anh,Kinh,Tỉnh Bình Định,Tỉnh Bình Định,Nữ,1975-05-04,Việt Nam
143,368479145289,Trần Văn Nguyên,Kinh,Tỉnh Phú Thọ,Tỉnh Phú Thọ,Nam,1993-06-02,Việt Nam
144,782840980732,Phạm Văn Hà,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nam,1971-06-16,Việt Nam
145,307355283790,Huỳnh Văn Tú,Kinh,Tỉnh Đắk Lắk,Tỉnh Đắk Lắk,Nam,1982-08-22,Việt Nam
146,366695904191,Bùi Hữu Nguyên,Kinh,Tỉnh Bắc Kạn,Tỉnh Bắc Kạn,Nam,1996-08-08,Việt Nam
147,126215798202,Trần Thị Linh,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nữ,1999-07-31,Việt Nam
148,962816459725,Dương Thị Tâm,Kinh,Tỉnh Vĩnh Long,Tỉnh Vĩnh Long,Nữ,1985-05-25,Việt Nam
149,162035423284,Bùi Thị An,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nữ,1976-08-30,Việt Nam
150,960673099150,Phan Văn Hà,Kinh,Tỉnh Nghệ An,Tỉnh Nghệ An,Nam,1955-03-04,Việt Nam
